NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
,111124,11.19000000,0242100,24.35000000,NO DAMAGE, ,,,,,,
SAWWAM,111144,11.19555556,0242353,24.39805556,NO DAMAGE,Secondary Town,,,,,,1
,110705,11.11805556,0244829,24.80805556,NO DAMAGE,~10,,,10,,,
ABU HUMEIRA,110644,11.11222222,0244249,24.71361111,NO DAMAGE, ,,,,,,
ABU SELALA,111304,11.21777778,0244238,24.71055556,NO DAMAGE,Secondary Town,,,,,,1
,111802,11.30055556,0243959,24.66638889,NO DAMAGE,~10,,,10,,,
RAHA RAHMA,141653,14.28138889,0222711,22.45305556,NO DAMAGE,,,,,,,
TOURA,141605,14.26805556,0222739,22.46083333,NO DAMAGE,,,,,,,
,142150,14.36388889,0222636,22.44333333,DAMAGED,~10 of ~50,2004,10,50,2004,2004,
KURNGI,142301,14.38361111,0222752,22.46444444,DESTROYED,~25 of ~25,2003/2004,25,25,2003,2004,
,141956,14.33222222,0222841,22.47805556,DAMAGED,~25 of ~50,2003/2004,25,50,2003,2004,
KERNOYA,140312,14.05333333,0223557,22.59916667,NO DAMAGE,,,,,,,
HISALISA,140444,14.07888889,0223607,22.60194444,DAMAGED,,,,,,,
,140408,14.06888889,0223509,22.58583333,DESTROYED,~25 of ~50,2008/2009,25,50,2008,2009,
,140445,14.07916667,0223720,22.62222222,NO DAMAGE,~50,,,50,,,
HIJLEAHJAH,140551,14.09750000,0223504,22.58444444,DAMAGED,~25 of ~150,2006,25,150,2006,2006,
,140801,14.13361111,0223431,22.57527778,DESTROYED,~25 of ~25,,25,25,,,
ASKANETI,140902,14.15055556,0223519,22.58861111,NO DAMAGE,,,,,,,
,140944,14.16222222,0223506,22.58500000,NO DAMAGE,,,,,,,
,141235,14.20972222,0223755,22.63194444,DESTROYED,~100 of ~100,2004/2005,100,100,2004,2005,
